date,members
2016-07-29,2885
2016-12-13,3011
2017-04-28,3209
2017-09-06,3353
2018-01-18,3481
2018-06-06,3523
2018-10-19,3556
2019-03-05,3591
2019-07-16,3635
2019-11-27,3735
2020-04-13,3816
2020-08-24,3967
2021-01-06,4143
2021-05-25,4317
2021-10-08,4494
2022-02-21,4724
2022-07-05,4818
2022-11-16,4992
2023-03-30,5130
2023-08-11,5248
2023-12-25,5331
2024-05-15,5360
2024-09-23,5346
2025-02-12,5393
2025-06-25,5420
2025-11-06,5446
2026-03-24,5490
