requested_date,trade_date,active_close,factor_ok,amount_ok
2006-01-04,2006-01-04,1181,1181,1181
2008-01-02,2008-01-02,1372,1372,1372
2010-01-04,2010-01-04,1633,1633,1633
2014-01-02,2014-01-02,2355,2355,2355
2016-07-29,2016-07-29,2646,2646,2646
2020-01-02,2020-01-02,3741,3741,3741
2026-07-29,2026-07-29,5525,5525,5525
