code,first_date,last_date,obs
BJ836504,2023-08-17,2025-09-30,515
BJ836547,2023-12-12,2025-09-30,438
BJ836675,2021-11-15,2025-09-30,942
BJ836699,2023-05-09,2025-09-30,585
BJ836717,2023-07-03,2025-09-30,548
BJ836720,2021-11-24,2025-09-30,935
BJ836807,2022-12-20,2025-09-30,675
BJ836826,2021-11-15,2025-09-30,942
BJ836871,2022-07-22,2025-09-30,775
BJ836892,2021-11-15,2025-09-30,942
BJ836942,2022-12-08,2025-09-30,683
BJ836957,2022-12-14,2025-09-30,679
BJ836961,2023-12-21,2025-09-30,431
BJ837006,2023-05-18,2025-09-30,578
BJ837023,2024-03-29,2025-09-30,367
BJ837046,2022-10-13,2025-09-30,722
BJ837092,2021-11-15,2025-09-30,942
BJ837174,2023-08-18,2025-09-30,514
BJ837212,2021-11-15,2025-09-30,942
BJ837242,2021-11-15,2025-09-30,942
BJ837344,2021-11-15,2025-09-30,942
BJ837403,2024-01-18,2025-09-30,412
BJ837592,2023-07-10,2025-09-30,543
BJ837663,2023-03-15,2025-09-30,620
BJ837748,2023-08-16,2025-09-30,516
BJ837821,2022-07-06,2025-09-30,787
BJ838030,2021-11-15,2025-09-30,942
BJ838163,2021-11-15,2025-09-30,942
BJ838171,2022-06-02,2025-09-30,810
BJ838227,2022-12-28,2025-09-30,669
BJ838262,2022-12-30,2025-09-30,667
BJ838275,2021-11-15,2025-09-30,942
BJ838402,2022-09-28,2025-09-30,728
BJ838670,2022-07-05,2025-09-30,788
BJ838701,2023-07-19,2025-09-30,536
BJ838810,2022-12-16,2025-09-30,677
BJ838837,2023-05-15,2025-09-30,581
BJ838924,2021-11-15,2025-09-30,942
BJ838971,2022-09-27,2025-09-30,729
BJ839167,2021-11-15,2025-04-30,837
BJ839273,2023-02-21,2025-09-30,636
BJ839371,2023-01-18,2025-09-30,655
BJ839493,2023-11-01,2025-09-30,467
BJ839680,2021-11-15,2025-09-12,898
BJ839719,2023-05-26,2025-09-30,572
BJ839725,2022-07-18,2025-09-30,779
BJ839729,2021-11-15,2025-09-30,942
BJ839790,2022-09-02,2025-09-30,745
BJ839792,2023-03-30,2025-09-30,609
BJ839946,2021-11-15,2025-09-30,942
BJ870199,2022-12-01,2025-09-30,688
BJ870204,2022-01-18,2025-09-30,897
BJ870299,2022-06-10,2025-09-30,805
BJ870357,2022-11-18,2025-09-30,697
BJ870436,2021-11-15,2025-09-30,942
BJ870508,2022-12-16,2025-09-30,677
BJ870656,2024-02-02,2025-09-30,401
BJ870726,2023-08-08,2025-09-30,522
BJ870866,2022-12-09,2025-09-30,682
BJ870976,2023-09-01,2025-09-30,504
BJ871245,2022-01-06,2025-09-30,905
BJ871263,2023-12-28,2025-09-30,426
BJ871396,2021-11-15,2025-09-30,942
BJ871478,2023-05-12,2025-09-30,582
BJ871553,2021-11-15,2025-09-30,942
BJ871634,2022-11-24,2025-09-30,693
BJ871642,2021-11-15,2025-09-30,942
BJ871694,2023-04-24,2025-09-30,593
BJ871753,2022-11-01,2025-09-30,703
BJ871857,2022-02-28,2025-09-30,873
BJ871970,2022-05-18,2025-09-30,821
BJ871981,2021-11-15,2025-09-30,942
BJ872190,2022-12-23,2025-09-30,672
BJ872351,2022-12-29,2025-09-30,668
BJ872374,2022-11-29,2025-09-30,690
BJ872392,2022-12-30,2025-09-30,667
BJ872541,2023-03-10,2025-09-30,623
BJ872808,2022-11-18,2025-09-30,687
BJ872895,2023-04-06,2025-09-30,605
BJ872925,2021-11-15,2025-09-30,942
BJ872931,2024-04-08,2025-09-30,363
BJ872953,2023-08-23,2025-09-30,511
BJ873001,2022-12-27,2025-09-30,670
BJ873122,2022-09-27,2025-09-30,729
BJ873132,2023-11-16,2025-09-30,456
BJ873152,2023-01-19,2025-09-30,654
BJ873167,2023-02-09,2025-09-30,644
BJ873169,2022-04-15,2025-09-30,841
BJ873223,2022-06-09,2025-09-30,806
BJ873305,2022-12-21,2025-09-30,674
BJ873339,2022-11-17,2025-09-30,698
BJ873527,2022-10-27,2025-09-30,712
BJ873570,2023-11-23,2025-09-30,451
BJ873576,2023-07-12,2025-09-30,541
BJ873593,2023-04-13,2025-09-30,600
BJ873665,2023-09-26,2025-09-30,487
BJ873679,2023-11-10,2025-09-30,460
BJ873690,2024-01-05,2025-09-30,421
BJ873693,2023-10-27,2025-09-30,470
BJ873703,2023-12-05,2025-09-30,443
BJ873706,2024-03-08,2025-09-30,382
BJ873726,2023-10-19,2025-09-30,476
BJ873806,2024-01-11,2025-09-30,417
BJ873833,2023-11-08,2025-09-30,462
BJ920000,2025-10-09,2026-07-29,197
BJ920001,2025-10-09,2026-07-29,197
BJ920002,2024-06-03,2026-07-29,245
BJ920003,2025-11-07,2026-07-29,176
BJ920005,2025-08-06,2026-07-29,229
BJ920006,2025-10-09,2026-07-29,197
BJ920007,2025-08-08,2026-07-29,228
BJ920008,2024-11-05,2026-07-29,243
BJ920009,2025-11-03,2026-07-29,180
BJ920010,2025-10-09,2026-07-29,197
BJ920011,2026-04-08,2026-07-29,77
BJ920012,2026-04-13,2026-07-29,74
BJ920014,2025-10-09,2026-07-29,197
BJ920015,2025-09-25,2026-07-29,201
BJ920016,2024-11-05,2026-07-29,243
BJ920017,2025-10-09,2026-07-29,197
BJ920018,2025-08-20,2026-07-29,224
BJ920019,2024-11-05,2026-07-29,243
BJ920020,2025-10-28,2026-07-29,184
BJ920021,2025-10-09,2026-07-29,197
BJ920022,2025-09-19,2026-07-29,205
BJ920023,2025-10-09,2026-07-29,196
BJ920026,2025-10-09,2026-07-29,197
BJ920027,2025-08-06,2026-07-29,229
BJ920028,2026-03-20,2026-07-29,89
BJ920029,2025-04-11,2026-07-29,238
BJ920030,2025-10-09,2026-07-29,197
BJ920033,2025-10-09,2026-07-29,197
BJ920035,2025-12-02,2026-07-29,159
BJ920036,2026-03-09,2026-07-29,98
BJ920037,2025-08-06,2026-07-29,229
BJ920039,2025-10-09,2026-07-29,197
BJ920045,2025-12-31,2026-07-29,138
BJ920046,2025-10-09,2026-07-29,197
BJ920047,2025-10-09,2026-07-29,197
BJ920050,2026-01-21,2026-07-29,125
BJ920055,2026-03-31,2026-07-29,82
BJ920056,2025-08-27,2026-07-29,222
BJ920057,2025-10-09,2026-07-29,197
BJ920058,2025-10-09,2026-07-29,187
BJ920060,2024-12-25,2026-07-29,242
BJ920061,2025-10-09,2026-07-29,197
BJ920062,2025-10-09,2026-07-29,197
BJ920065,2026-07-29,2026-07-29,1
BJ920066,2024-11-05,2026-07-29,243
BJ920068,2025-05-16,2026-07-29,232
BJ920069,2026-03-27,2026-07-29,84
BJ920072,2026-06-29,2026-07-29,23
BJ920075,2025-10-09,2026-07-29,197
BJ920076,2026-01-22,2026-07-29,124
BJ920077,2025-10-09,2026-07-29,197
BJ920078,2026-03-18,2026-07-29,91
BJ920079,2026-07-22,2026-07-29,6
BJ920080,2025-10-10,2026-07-29,196
BJ920081,2026-07-10,2026-07-29,14
BJ920082,2025-02-07,2026-07-29,241
BJ920083,2026-06-11,2026-07-29,34
BJ920086,2026-01-16,2026-07-29,128
BJ920087,2025-10-09,2026-07-29,197
BJ920088,2024-11-05,2026-07-29,243
BJ920089,2025-10-09,2026-07-29,197
BJ920090,2025-10-09,2026-07-29,196
BJ920091,2025-11-21,2026-07-29,166
BJ920092,2025-10-09,2026-07-29,197
BJ920096,2026-05-18,2026-07-29,52
BJ920098,2024-12-25,2026-07-29,242
BJ920099,2024-11-05,2026-07-29,243
BJ920100,2025-09-08,2026-07-29,214
BJ920101,2025-08-15,2026-07-29,227
BJ920106,2024-12-25,2026-07-29,242
BJ920108,2025-02-07,2026-07-29,241
BJ920110,2025-10-09,2026-07-29,197
BJ920111,2024-12-25,2026-07-29,242
BJ920112,2025-08-28,2026-07-29,221
BJ920116,2025-02-07,2026-07-29,241
BJ920117,2026-07-16,2026-07-29,10
BJ920118,2024-11-05,2026-07-29,243
BJ920119,2026-01-30,2026-07-29,118
BJ920121,2025-12-25,2026-07-29,142
BJ920122,2025-10-09,2026-07-29,197
BJ920123,2025-10-09,2026-07-29,197
BJ920124,2025-11-27,2026-07-29,162
BJ920125,2026-04-24,2026-07-29,65
BJ920126,2026-06-15,2026-07-29,32
BJ920128,2024-12-25,2026-07-29,242
BJ920130,2025-10-09,2026-07-29,197
