year,return
2006,0.5846508159148172
2007,1.017678556191592
2008,-0.507321284668633
2009,0.6507614757929727
2010,0.09592599332089091
2011,-0.32367865401518026
2012,0.08993324913643064
2013,0.23126087828577502
2014,1.0375965575408288
2015,0.284513859718561
2016,0.0118720508739798
2017,0.2748063584016627
2018,-0.37508453570206124
2019,0.16294971021131
2020,0.25655827089995875
2021,0.10452838275951692
2022,0.0024580784046865922
2023,-0.043794540666375115
2024,0.3044157677093686
2025,0.1647722097219868
2026,-0.14983721955159202
